ID,red,yellow,blue,black,white,r,g,b
7948,0.18,0.5,0.07999999999999996,0,0.44999999999999996,141,131,124
7949,0.18,0.5,0.07999999999999996,0,0.43999999999999995,162,155,149
7950,0.8,1.14,0.16000000000000014,0.10999999999999988,0,151,117,89
7951,0.5,0.98,0.1100000000000001,0,1.3299999999999998,135,116,112
7952,0.5,0.98,0.1100000000000001,0,1.3800000000000001,172,147,145
7953,0,0,0,0.35,2.4099999999999997,159,154,148
7954,0,0,0,0.35,2.42,157,152,145
7955,0,0,0,0.18,0.28,103,98,92
7956,0,0,0,0.18,0.28,108,103,100
7957,0,0,0,0.37,0.44000000000000006,110,108,106
7958,0,0,0,0.37,0.47,107,102,97
7959,0,0,0,1.01,0.51,115,108,102
7960,0,0,0,1.02,0.5,116,111,105
7961,0,0,0,0.82,0.2600000000000001,111,107,98
7962,0,0,0,0.82,0.2500000000000001,110,105,99
7963,0,0,0,1.32,0.06999999999999984,71,66,59
7964,0,0,0,1.32,0.020000000000000018,38,40,42
7965,0,1.38,0.2100000000000002,0,0.6599999999999999,70,150,87
7966,0,1.38,0.2100000000000002,0,0.6100000000000001,78,162,94
7967,0,1.38,0.2100000000000002,0,0.6399999999999999,86,182,114
7968,0,1.27,0.07000000000000006,0.25,0,23,105,12
7969,0,1.27,0.07000000000000006,0.24,0,40,118,30
7970,0,0.4,0.31999999999999995,0,0,11,111,84
7971,0,0.4,0.31999999999999995,0,0,2,119,90
7972,0,0.7,0.54,0,0.5800000000000001,0,110,100
7973,0,0.7,0.53,0,0.5900000000000001,0,115,104
7974,0,0.7,0.54,0,0.5900000000000001,0,112,102
7975,0,0.8,0.4099999999999999,0.21999999999999997,0,85,137,115
7976,0,0.8,0.4099999999999999,0.21999999999999997,0,64,111,74
7977,0,0.5,0.10999999999999999,0.24,0,29,77,59
7978,0,0.49,0.10999999999999999,0.25,0,45,95,66
7979,0,0.49,0.12,0.24,0,36,85,51
7980,0,0.71,0.29000000000000004,0.8600000000000001,0,41,84,54
7981,0,0.71,0.29000000000000004,0.8700000000000001,0,26,67,38
7982,0,0.71,0.29000000000000004,0.8799999999999999,0,14,41,21
7983,0,0.91,0.18000000000000005,0,0,10,93,20
7984,0,0.91,0.15000000000000002,0,0,0,90,20
7985,0,0.91,0.16000000000000003,0,0,11,113,14
7986,0,1.24,0.10000000000000009,0,0.5899999999999999,100,126,49
7987,0,1.21,0.13000000000000012,0,0.5899999999999999,129,147,81
7988,0,1.24,0.10000000000000009,0,0.5999999999999999,137,149,95
7989,0,0.52,0.08999999999999997,0,1.12,129,188,150
7990,0,0.52,0.08999999999999997,0,1.0699999999999998,111,170,132
7991,0,0.52,0.08999999999999997,0,1.0899999999999999,122,181,141
7992,0.7,0,0,0.9299999999999999,0,82,48,49
7993,0.7,0,0,0.9200000000000002,0,80,44,46
7995,0.97,0,0,0.26,0,70,3,0
7996,0.98,0,0,0.26,0,81,15,7
7997,1.11,0,0,0,0.97,146,49,126
7998,1.13,0,0,0,0.96,134,38,120
7999,1.13,0,0,0,0.9500000000000002,116,35,112
8001,0.38,0,0,0,5.38,182,153,218
8002,0.39,0,0,0,5.36,173,143,208
8010,0,0.45,0,0,0.81,234,239,117
8011,0,0.45,0,0,0.8,230,232,107
8012,0.81,0.6099999999999999,0.08000000000000007,0,0,161,60,33
8013,0.81,0.6199999999999999,0.07000000000000006,0,0,157,59,31
8014,0.71,0.74,0.17000000000000015,0,0.81,151,91,88
8015,0.71,0.74,0.17000000000000015,0,0.8199999999999998,145,85,80
8016,0.71,0.74,0.16000000000000014,0,0.8200000000000001,174,11,104
8017,0.54,1.01,0.06000000000000005,0,0.44999999999999996,158,90,66
8018,0.54,1.01,0.06000000000000005,0,0.47,159,91,67
8019,0.54,1.01,0.06000000000000005,0,0.45999999999999974,155,88,64
8020,0.33,1.02,0.22999999999999998,0,0.6299999999999999,121,108,91
8021,0.33,1.02,0.22999999999999998,0,0.6400000000000001,117,102,77
8022,0.33,1.02,0.22999999999999998,0,0.6000000000000001,132,119,96
8023,0.71,1.35,0.25,0,1.9599999999999995,155,105,78
8024,0.71,1.35,0.25,0,1.9499999999999997,151,103,76
8025,0.71,1.35,0.25,0,1.9700000000000002,149,99,70
